PLAYER,TEAM,AGE,GP,W,L,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD
Draymond Green,GSW,29,22,14,8,850,1.5,2.0,1.6,7.9,12.1,9.8,10.4,27.3,1.4,0.7,3.6,3.6
Dzanan Musa,BKN,20,2,0,2,15,0.0,0.0,4.9,9.8,12.3,7.4,12.3,34.4,0.0,0.0,9.8,0.0
Ed Davis,BKN,30,3,1,2,41,0.0,8.8,0.0,12.4,8.8,18.5,7.9,30.0,0.9,1.8,7.9,2.6
Edmond Sumner,IND,23,1,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ekpe Udoh,UTA,32,2,0,2,6,0.0,0.0,0.0,0.0,11.8,11.8,29.4,47.1,0.0,0.0,0.0,0.0
Enes Kanter,POR,27,16,8,8,461,1.6,5.5,0.2,10.0,11.8,10.4,9.6,35.6,0.7,1.2,2.8,3.1
Eric Bledsoe,MIL,29,15,10,5,423,2.6,0.5,3.6,8.5,9.1,8.1,9.6,26.4,0.5,0.7,2.4,4.3
Eric Gordon,HOU,30,11,6,5,410,2.6,1.9,3.3,5.1,16.3,10.2,10.0,35.0,1.0,0.6,1.9,2.4
Eric Moreland,TOR,27,8,6,2,28,0.0,0.0,0.0,2.6,11.5,12.8,10.2,40.9,0.0,0.0,6.4,0.0
Ersan Ilyasova,MIL,32,15,10,5,272,1.5,2.9,1.5,4.8,10.2,7.1,9.1,28.0,0.8,0.7,5.3,3.4
Evan Fournier,ORL,26,5,1,4,175,2.1,0.6,2.3,4.1,13.2,8.2,9.7,39.5,0.0,0.8,2.9,1.9
Evan Turner,POR,30,16,8,8,245,0.0,0.9,0.1,3.5,10.9,14.7,8.4,32.3,0.4,1.5,3.2,1.8
Fred VanVleet,TOR,25,24,16,8,592,1.3,1.2,1.2,2.1,9.2,10.5,9.3,28.9,0.4,0.7,3.0,1.8
Furkan Korkmaz,PHI,21,4,3,1,36,0.0,0.0,0.0,4.0,10.1,2.0,22.2,42.5,1.0,2.0,5.1,7.1
Garrett Temple,LAC,33,6,2,4,63,0.0,0.0,0.0,1.1,12.6,11.5,10.9,33.2,0.6,0.0,4.6,5.2
Gary Clark,HOU,24,2,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,19.3,57.9,0.0,0.0,0.0,0.0
Gary Harris,DEN,24,14,7,7,517,1.7,0.6,3.5,6.4,7.4,10.4,6.9,32.8,0.6,0.6,2.6,2.1
George Hill,MIL,33,15,10,5,395,2.2,2.5,3.0,7.1,10.5,7.4,8.7,25.4,0.4,0.6,3.1,2.6
Georges Niang,UTA,26,5,1,4,55,2.6,0.0,7.2,6.6,6.6,11.8,4.6,27.6,0.7,0.7,3.3,0.0
Gerald Green,HOU,33,11,6,5,97,3.3,1.1,3.3,1.5,7.4,8.2,7.4,28.9,1.1,0.7,4.5,2.2
