PLAYER,TEAM,AGE,GP,W,L,MIN,USG_PCT,PCT_FGM,PCT_FGA,PCT_FG3M,PCT_FG3A,PCT_FTM,PCT_FTA,PCT_OREB,PCT_DREB,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_BLKA,PCT_PF,PCT_PFD,PCT_PTS
Josh Jackson,PHX,22,79,19,60,1988.0,23.4,21.2,23.5,20.3,20.3,20.0,22.7,17.7,22.0,21.0,18.8,26.5,19.9,24.2,29.7,21.3,20.4,21.0
Josh Okogie,MIN,20,74,32,42,1757.0,14.8,12.8,15.1,16.6,20.7,16.2,17.9,9.6,14.3,13.1,9.7,13.0,27.8,19.2,16.0,22.0,19.9,13.7
Josh Richardson,MIA,25,73,35,38,2539.0,20.3,20.1,22.0,26.1,26.9,25.8,20.8,9.1,11.4,10.8,23.2,14.6,19.5,11.5,23.8,18.1,23.2,21.5
Jrue Holiday,NOP,29,67,30,37,2402.0,25.0,24.5,25.2,24.0,25.3,21.5,21.7,13.3,14.1,13.9,37.8,29.6,28.4,17.9,26.1,14.4,21.9,24.0
Juancho Hernangomez,DEN,23,70,44,26,1358.0,11.9,12.0,12.3,21.5,20.0,14.8,14.1,18.7,20.8,20.2,7.2,9.9,12.3,16.7,10.7,16.3,12.6,13.3
Julian Washburn,MEM,27,18,7,11,254.0,9.6,8.6,10.5,8.8,14.0,3.0,3.2,12.3,19.5,17.5,13.0,11.1,25.5,9.1,5.6,15.2,4.6,7.6
Julius Randle,NOP,24,73,31,42,2232.0,27.3,28.2,25.8,15.0,15.0,39.3,41.1,31.0,28.6,29.2,18.5,29.9,15.0,19.2,34.3,24.1,35.7,29.0
Justin Anderson,ATL,25,48,17,31,464.0,16.6,16.8,18.0,20.9,21.0,13.8,13.9,22.6,17.8,18.9,9.6,15.5,25.6,23.2,18.0,22.2,12.8,16.7
Justin Holiday,MEM,30,82,25,57,2607.0,15.3,14.7,16.8,28.7,28.6,10.8,9.5,10.2,15.4,14.3,11.3,13.0,27.9,14.6,10.6,14.6,11.0,15.5
Justin Jackson,DAL,24,81,36,45,1613.0,14.1,15.5,15.9,22.8,22.5,11.6,10.6,12.8,14.4,14.1,11.3,6.8,13.3,9.5,3.0,14.2,10.0,15.7
Justin Patton,PHI,22,3,2,1,21.0,14.0,14.3,16.3,0.0,15.4,10.0,14.3,22.2,23.5,23.1,30.0,0.0,40.0,0.0,0.0,83.3,12.5,11.9
Justise Winslow,MIA,23,66,30,36,1960.0,20.6,19.7,21.0,20.6,20.0,14.1,15.6,14.2,19.9,18.6,27.7,23.9,22.5,8.6,22.8,20.9,16.3,19.0
Jusuf Nurkic,POR,24,72,45,27,1974.0,24.1,23.3,21.9,0.7,2.4,33.5,35.7,47.9,33.5,37.1,23.5,31.9,22.8,45.2,31.4,30.2,35.8,23.1
Kadeem Allen,NYK,26,19,3,16,416.0,19.5,19.2,19.3,18.5,15.2,26.1,25.6,10.1,14.4,13.5,38.4,22.4,35.6,7.1,12.8,25.8,25.3,20.3
Kalin Lucas,DET,30,1,0,1,6.0,15.4,0.0,11.1,0.0,25.0,100,100,0.0,75.0,60.0,100,0.0,0.0,0.0,0.0,33.3,50.0,33.3
Karl-Anthony Towns,MIN,23,77,34,43,2545.0,28.0,30.8,27.3,26.1,23.1,35.9,34.2,41.0,39.0,39.6,19.3,32.8,15.7,43.9,25.2,27.8,37.0,31.3
Kawhi Leonard,TOR,28,60,41,19,2040.0,30.0,30.9,30.5,21.6,22.0,45.4,43.8,20.2,24.1,23.3,19.1,21.9,30.5,10.6,30.8,10.9,40.2,32.3
Keita Bates-Diop,MIN,23,30,10,20,503.0,14.0,14.2,14.9,12.9,16.7,9.8,11.8,14.4,20.2,18.7,7.3,11.5,21.7,25.5,13.0,14.3,8.1,13.3
Kelly Olynyk,MIA,28,79,39,40,1812.0,17.5,17.4,17.1,24.1,24.5,25.3,22.5,17.7,23.1,21.9,14.9,20.2,16.9,19.7,13.3,24.1,25.3,19.3
Kelly Oubre Jr.,PHX,23,69,21,48,1935.0,22.3,23.1,23.9,27.3,28.2,22.4,22.1,19.0,20.6,20.2,8.9,17.8,25.0,24.6,33.2,18.7,23.7,23.4
Kemba Walker,CHA,29,82,39,43,2863.0,30.8,30.3,31.5,34.7,35.3,35.4,34.0,8.7,15.3,13.8,35.7,29.7,23.9,11.8,33.7,11.9,34.1,31.6
Kenneth Faried,HOU,29,37,21,16,728.0,19.4,25.3,19.5,3.5,3.7,21.7,25.4,58.1,32.5,39.2,6.1,17.0,11.2,31.5,31.3,27.3,25.8,21.8
Kenrich Williams,NOP,24,46,17,29,1079.0,11.9,10.8,13.1,21.8,22.0,3.8,4.1,19.8,20.5,20.3,13.0,10.6,23.8,16.8,13.5,23.0,10.3,10.9
Kent Bazemore,ATL,29,67,24,43,1643.0,21.5,20.8,22.4,23.2,23.9,20.2,20.4,9.3,19.5,16.9,18.4,20.9,30.6,21.1,18.0,20.4,19.0,21.0
Kentavious Caldwell-Pope,LAL,26,82,37,45,2035.0,17.5,18.5,19.9,32.1,31.0,19.1,16.1,11.0,13.1,12.6,10.3,10.1,23.0,6.4,9.3,14.9,16.7,19.9
Kevin Durant,GSW,30,78,54,24,2702.0,28.3,28.3,27.6,17.7,19.8,43.0,40.2,6.6,22.4,19.3,26.8,28.8,13.3,22.5,20.7,13.2,33.9,29.4
Kevin Huerter,ATL,20,75,27,48,2049.0,15.3,15.2,16.6,22.9,21.8,5.9,6.1,11.7,12.6,12.3,18.5,15.5,18.8,12.1,12.6,16.1,6.7,14.8
Kevin Knox,NYK,19,75,15,60,2158.0,21.9,19.9,22.9,27.0,26.7,20.6,21.5,13.6,17.9,16.9,9.2,18.9,14.9,10.1,25.5,19.0,19.2,20.8
Kevin Love,CLE,30,22,7,15,598.0,25.9,22.1,25.4,33.1,34.4,44.4,40.4,21.4,46.7,40.2,17.6,24.4,11.5,22.7,25.0,22.0,31.8,27.1
Kevon Looney,GSW,23,80,56,24,1481.0,12.2,15.8,12.2,0.2,0.9,12.2,15.9,51.3,19.3,27.2,13.7,12.6,21.0,29.0,26.8,30.2,16.6,13.5
Khem Birch,ORL,26,50,26,24,643.0,13.6,17.3,12.7,0.0,0.2,24.8,27.3,56.0,23.4,30.8,12.1,12.0,20.5,39.7,21.8,26.5,24.7,16.7
Khris Middleton,MIL,27,77,56,21,2393.0,24.6,22.9,25.3,26.5,25.8,24.7,23.0,11.8,20.4,18.9,25.5,25.9,21.2,2.1,25.4,17.6,19.4,23.6
Khyri Thomas,DET,23,26,13,13,195.0,15.8,15.6,18.4,24.4,24.5,10.8,12.8,7.0,11.3,10.1,9.4,7.0,22.6,35.7,15.4,20.2,9.0,15.7
Klay Thompson,GSW,29,78,55,23,2652.0,25.4,26.7,28.7,33.1,32.4,15.0,14.9,7.9,13.3,12.3,10.9,14.7,19.8,13.5,19.4,13.5,15.9,25.9
